cens1_mean,cens2_mean,cens3_mean,cens4_mean,cens5_mean,cens6_mean,cens7_mean,cens8_mean,cens9_mean,cens10_mean,cens11_mean,cens12_mean,cens1_var,cens2_var,cens3_var,cens4_var,cens5_var,cens6_var,cens7_var,cens8_var,cens9_var,cens10_var,cens11_var,cens12_var
0.28612238,0.18500231,0.36658567,0.14462405,0.25120956,0.34801617,0.15407048,0.2083211,0.18418582,0.21779913,0.15202852,0.05861726,0.048836123,0.010830797,0.07077082,0.015168175,0.033520695,0.051043052,0.014420699,0.029588912,0.015472202,0.02079736,0.054257844,0.004920133
0.1647359,0.11303294,0.2535393,0.2288183,0.19673857,0.35000867,0.17535661,0.2259026,0.12009943,0.30621937,0.35424918,0.09866277,0.016818345,0.009395276,0.030684914,0.049300063,0.023189953,0.038046945,0.013562885,0.04245604,0.015913868,0.044514094,0.052262697,0.02116224
0.24324764,0.20877795,0.21117966,0.29141903,0.20340714,0.29506147,0.31546158,0.3841163,0.2857497,0.25384155,0.34351838,0.21271366,0.008158574,0.008988073,0.0052240547,0.008144699,0.0020402272,0.0056926487,0.0043432466,0.008234202,0.008661324,0.0041063703,0.012374163,0.0069795856
0.18956496,0.0738723,0.18857063,0.07728122,0.37314922,0.19990477,0.22334456,0.263902,0.22148351,0.29624707,0.09452909,0.20984957,0.033037465,0.00792407,0.037993193,0.006033725,0.0638537,0.06886937,0.0325268,0.047230054,0.045547448,0.044103995,0.011446558,0.030322887
0.11339339,0.3235564,0.14346074,0.26862988,0.22325055,0.16531207,0.25022328,0.061968,0.21127099,0.17845488,0.16994151,0.22488396,0.024411228,0.038925488,0.051963795,0.063019074,0.054739416,0.039752007,0.040359404,0.007826483,0.04056918,0.03953205,0.045975346,0.043461602
0.15708092,0.25886333,0.26248968,0.07269765,0.30232817,0.22971617,0.13315268,0.16180688,0.15976268,0.37254098,0.095108956,0.19535094,0.033889275,0.0483166,0.07223267,0.00796418,0.04212375,0.044031195,0.017836496,0.04167615,0.013833117,0.038609236,0.022415457,0.051936217
0.37139633,0.04304418,0.38020748,0.028274935,0.31697127,0.25104257,0.065890476,0.1394705,0.03305173,0.29483762,0.017345825,0.24641708,0.056631356,0.003038379,0.06977794,0.0021380943,0.050950803,0.0730486,0.0053451057,0.02916089,0.0025887133,0.042122517,0.0013539606,0.042661224
0.30120912,0.15062828,0.35644117,0.063142516,0.3741891,0.092856064,0.17127077,0.31797907,0.105487965,0.28408793,0.09921761,0.24937755,0.042649366,0.025609951,0.05613727,0.0030728937,0.059573263,0.009181816,0.023030268,0.01776124,0.011479261,0.0294595,0.012530278,0.02235308
0.1990269,0.23820885,0.2216451,0.16395906,0.27394092,0.15623814,0.2727827,0.09819577,0.027273227,0.3650497,0.27097863,0.2783066,0.03240366,0.025765987,0.041591544,0.03402492,0.04425066,0.017605903,0.049170755,0.009018819,0.0010311726,0.05757264,0.021029614,0.026052665
0.08462038,0.27497983,0.3524561,0.08262969,0.16183674,0.18808083,0.41592258,0.23486634,0.14487179,0.34126046,0.08098764,0.24086706,0.0066959276,0.025929596,0.032539576,0.007847626,0.020540671,0.014271324,0.03660797,0.04452534,0.013539093,0.043322515,0.006253822,0.04258548
0.17041326,0.109860584,0.21540403,0.07097772,0.27692258,0.19174555,0.17048056,0.2170284,0.09224448,0.20335165,0.13694403,0.3801772,0.043779507,0.03241063,0.04655772,0.0101525495,0.07400085,0.05399247,0.017273484,0.06618389,0.017178645,0.04434178,0.022399113,0.07680712
